"ForestTypeGroup","AgeGroup","carbon","carbon_se","TYPGRPCD","cumTDEE","cumTDEE_ubSE","cumTDEE_lbSE","joint_c"
"Oak / gum / cypress",60,96.38219232,2.140344486,600,30.93388297,33.00015204,28.8676139,65.44830935
"Oak / gum / cypress",70,109.8054177,2.514234622,600,31.79483018,33.88050506,29.70915531,78.01058752
"Oak / gum / cypress",80,117.3692701,3.46008232,600,35.5338881,37.97695432,33.09082187,81.835382
"Oak / gum / cypress",90,118.02063,5.132268062,600,37.27864856,39.89994311,34.65735401,80.74198144
"Oak / gum / cypress",100,126.4661489,5.672393258,600,38.26293629,42.54415888,33.98171371,88.20321261
"Oak / gum / cypress",110,154.7665357,12.78560574,600,42.42241453,46.89989277,37.94493628,112.34412117
"Oak / gum / cypress",120,143.8689117,10.15334792,600,44.92636793,49.39097396,40.46176191,98.94254377
"Oak / gum / cypress",130,136.8855129,12.79580456,600,36.85967776,44.82348813,28.89586738,100.02583514
"Oak / gum / cypress",140,103.3611057,43.13369082,600,34.13999457,48.90752758,19.37246157,69.22111113
"Oak / gum / cypress",150,123.1866508,11.8670705,600,30.64721012,48.74478344,12.5496368,92.53944068
"Oak / gum / cypress",170,209.9269986,0,600,NA,NA,NA,NA
"Oak / hickory",0,19.46890479,0.439069814,500,9.560739211,10.64977981,8.471698612,9.908165579
"Oak / hickory",10,26.73029634,0.594449352,500,13.04625599,14.30299194,11.78952005,13.68404035
"Oak / hickory",20,40.8761322,0.877309798,500,17.75263897,18.95132773,16.55395022,23.12349323
"Oak / hickory",30,49.59184559,1.17425309,500,20.1504384,21.5443123,18.75656449,29.44140719
"Oak / hickory",40,58.05670968,0.983049556,500,22.49294878,23.86688265,21.11901491,35.5637609
"Oak / hickory",50,69.47895275,1.021902275,500,24.35279356,25.62825746,23.07732966,45.12615919
"Oak / hickory",60,77.0915196,0.98222508,500,25.81859955,26.99589461,24.64130449,51.27292005
"Oak / hickory",70,88.34541578,1.067629893,500,26.38761635,27.52723545,25.24799726,61.95779943
"Oak / hickory",80,100.8785504,1.240946741,500,27.29034871,28.48004282,26.1006546,73.58820169
